,Homme,Femme,Ensemble
Moins de 4 ans,26061,24757,50818
5 à 9 ans,27598,26443,54041
10 à 14 ans,27506,26471,53977
15 à 19 ans,28677,27272,55949
20 à 24 ans,25657,24834,50492
25 à 29 ans,25680,27207,52887
30 à 34 ans,27901,29718,57619
35 à 39 ans,29549,31722,61271
40 à 44 ans,31132,31945,63077
45 à 49 ans,32314,34976,67290
50 à 54 ans,33140,36239,69379
55 à 59 ans,30908,33830,64737
60 à 64 ans,28471,33526,61998
65 à 69 ans,29155,34605,63759
70 à 74 ans,24071,30042,54113
75 à 79 ans,19030,24626,43656
80 à 84 ans,14667,21536,36203
85 à 89 ans,9741,17483,27224
90 à 94 ans,3941,9610,13551
95 à 99 ans,783,2831,3614
100 ans ou plus,102,442,544
