Homme,1 personne,2 personnes,3 personnes,4 personnes,5 personnes,6 personnes ou plus
Moins de 20 ans,1150,219,58,37,9,8
20 à 24 ans,4157,1943,388,112,49,11
25 à 29 ans,5492,4883,1854,767,174,65
30 à 34 ans,5462,5001,4310,2970,699,221
35 à 39 ans,5272,3466,4522,5693,1708,547
40 à 44 ans,5601,2963,4253,6866,2542,936
45 à 49 ans,6301,3716,4903,6549,2354,877
50 à 54 ans,6559,6033,5826,4980,1657,753
55 à 59 ans,6261,8853,5208,2867,1017,393
60 à 64 ans,5864,8228,2749,1110,389,218
65 à 69 ans,6150,10325,1577,377,164,48
70 à 74 ans,4914,10980,982,234,57,38
75 à 79 ans,4059,9439,747,133,38,20
80 ans ou plus,7576,14446,845,201,45,9
Ensemble,74819,90495,38223,32896,10902,4142
