id,categories,types
0,0&&32%_%_::97019$1&&50%_%_::46490$2&&10%_%_::72951$3&&69%_%_::44619$4&&60%_%_::39034$5&&80%_%_::26985$6&&103%_%_::15065$,home::1.0806808620787177E7$Annexe::2946020.7099995296$office::3715867.0004523303$health related activity::142708.2765800922$other_activity::296920.8511784753$restaurant::202937.6315867082$shop::462522.3865162351$farm::313870.2700002269$leisure and sport::1473912.7198814661$university::373015.03688784305$car_rental::12837.964178640692$parking::755062.107903379$school::272384.1199722452$fountain::371581.23394678603$semidetached_house::201.98000000231434$roof::91574.99356467008$recycling::348374.68937198404$public::27735.729886217432$architect::559.4449999983783$social_facility::83249.09097708756$bench::915084.1257793532$fabric::1532.2800000100792$parking_entrance::42903.2466512335$workship::3545.5049999883972$service::3393.6099999970093$doityourself::11781.404999938548$electrical::736.1099999940058$toilets::24816.276411450828$shed::995.6570850217254$hut::328.33000000084166$dormitory::338571.44751715835$bicycle_parking::9994.743408314704$warehouse::1486.0899999650803$greenhouse::8512.260000041264$newsagent::3160.8504550479734$sport::39218.173775584364$atm::2789.334999994553$community_centre::13003.29701103337$drinking_water::573522.0682074975$college::4576.545000005573$outside_sport::18230.93145726482$construction::38435.37323765475$rugby_union::37158.15892955259$shelter::136.97336165990305$post_box::35830.442866189536$motorcycle_repair::414.8400000075426$moving_company::223.485000006177$bed::406.83500000436675$vacant::1707.2149999957962$climbing::563.2699999953865$cinema::3642.345000008833$clock::1503.4649999980957$leisure::10521.877019110412$tattoo::923.5649999892363$variety_store::1258.3099999995354$music::600.2700000091817$pergola::673.6538405124576$vending_machine::333577.5550398958$deli::2529.935000012336$video::342.0699999971618$driving_school::2200.1099999949834$hangar::715.304999994142$diplomatic::1741.529999975725$kindergarten::2674.3400000058664$photo::1198.9949999949208$carport::36.520000000101284$stadium::3175.7899999999986$luggage_locker::206.47500000346918$croquet::196.76535241249053$baseball::740.1205354528402$fire_station::1791.3850001497813$motorcycle_parking::37779.35220517398$running::42563.35364633685$wayside_cross::1581.1238826448232$table_tennis::6229.7899999819365$building:part::761.1699999969871$window_blind::1841.5099999932258$soccer;basketball;volleyball::800.7207729092698$car_wash::216.9099999960547$dietetary::186.72999999354244$motorcycle::2104.269999984228$surfing::174.20000000001164$paddle_tennis::1263.038556992048$political_party::1376.3900000076824$ticket::396.74499999011283$hearing_aids::469.75499999989864$games::399.7849999972945$money_transfer::201.39000000902683$bag::557.7449999977555$mortuary::725.6799999983679$waste_basket::1284.8515324685918$car_pooling::2267.3499999984215$taxi::556.2750000140629$incubator::297.65499999892666$handball;badminton;basketball::3073.8849999866306$jiu-jitsu::474.7150000035961$mall::790.1200000091875$data_center::5102.6500000160195$car_parts::16220.164999923061$organic::1001.5149999952956$spices::143.21999999492664$craft::286.6600000007346$tennis;volleyball::2384.0008540085905$basketball;tennis::112.12000000978703$bowls::146.53977702226143$funeral_directors::501.78000000181373$clinic::1237.5899999926705$household_linen::324.71499999984746$park::6200.0450000174815$transportation::5545.955000034067$childcare::804.7200000144379$scuba_diving::817.0600000017241$caravan::3315.8685399974297$garage::809.4149999916692$lighting::518.5599999943142$soccer;basketball::840.5098605891593$
1,7&&80%_%_::1109$8&&50%_%_::1992$9&&32%_%_::4173$10&&10%_%_::3065$11&&60%_%_::1553$12&&69%_%_::1826$13&&103%_%_::629$,home::1152683.1521074146$office::385687.0400002568$other_activity::22026.68528973574$public::339.83500000425613$Annexe::224664.51499996867$parking::249308.53962745267$leisure and sport::240685.37909185182$motorcycle_parking::1883.7599079698534$health related activity::590.7799999844389$farm::38042.48500005051$shop::96425.06152681481$restaurant::4785.98500001244$rental::1202.5000000047728$social_facility::62275.26090846061$college::852.3874161972557$bench::155.30759277251144$water_point::111.53613981800974$first_aid::424.2499999952211$drinking_water::26637.886105510563$multi;basketball::26637.886105510563$service::26809.984624172484$community_centre::27427.341105511223$skateboard;roller_skating;bmx::26637.886105510563$pelota;basketball::26637.886105510563$multi;basketball;handball::26637.886105510563$sport::8830.067759292502$car_wash::103.15999999991385$fountain::115842.53497977305$greenhouse::17876.530000016$pavilion::376.75000000618166$letter_box::1012.2927758674016$roof::2053.83643715731$school::30124.378623919845$post_box::8027.770000003776$baby_goods::1635.3549999991421$boat_storage::7765.918562624447$table_tennis::39.9132598544085$construction::4956.236322271151$soccer;rugby::8901.957595514921$toilets::183.2099999951059$outside_sport::5647.779997166032$fishing::830.2499999962165$reception_desk::502.6450000079244$parking_space::76.2051746893938$telecommunication::2393.2449999986925$dive_centre::4353.8290344596735$motorcycle::847.3032681055954$reception::332.1000000027707$photo::1100.2549999980126$food_court::179.08499999802208$bicycle_parking::5841.9307222737825$shed::31.40000000355067$carport::29.979999998274725$kindergarten::1265.78500000322$parking_entrance::24303.529999942155$catering::103.76499999975435$tower::41.50999999843538$
3,14&&69%_%_::41$15&&32%_%_::74$16&&80%_%_::28$17&&10%_%_::76$18&&50%_%_::36$19&&60%_%_::42$,home::30821.795124112545$terrace::74.23999999565072$Annexe::4628.280000038533$shop::470.1350000101293$office::2161.4050000208126$other_activity::1657.9560143134504$school::122.07500000325382$public::92.0649999957555$shed::86.2549999983213$shelter::32.21000000084517$leisure and sport::365.4375527481631$farm::92.5099999928591$parking::377.29396600756235$
4,20&&10%_%_::6054$21&&50%_%_::3941$22&&32%_%_::8126$23&&80%_%_::2304$24&&69%_%_::3738$25&&60%_%_::3394$26&&103%_%_::1334$,home::1195137.4568712001$office::586481.1550015388$Annexe::314849.65500008926$leisure and sport::59354.45249705599$farm::86400.77000006652$fountain::272.68320859096883$warehouse::2213.8500000400995$parking::73659.94055211107$shop::11311.141025653153$parking_entrance::63006.37500014687$paddle_tennis::416.2106151565937$service::587.9600000043783$school::37215.619489386845$hearing_aids::426.965000005645$health related activity::3409.690000007112$shed::242.58000000191274$stadium::1146.1649999955284$parking_space::49.01449218344249$restaurant::10729.1049999434$other_activity::13572.32917698435$bicycle_parking::2036.7672416389148$newsagent::1168.999999995995$sport::13039.446879538933$garage::2310.2449999477726$kindergarten::1917.7455380607353$roof::126.75500000353088$toilets::33310.565000105475$construction::230.7000000018219$waste_basket::169.39999999630965$rental::846.7999999963096$outside_sport::319.3753875206151$windsurf;canoe::260.5149999925017$social_facility::1871.3750000184227$car_parts::789.4649999548355$doityourself::1193.2150000032993$mall::33102.22000010712$terrace::70.43999999721069$
5,27&&50%_%_::1039$28&&32%_%_::2123$29&&60%_%_::873$30&&69%_%_::1050$31&&80%_%_::625$32&&10%_%_::1719$33&&103%_%_::388$,home::697455.4112859603$Annexe::103079.30500000573$office::45303.47500021137$shop::14278.945000022126$restaurant::1430.7099999882025$other_activity::4114.1434122638075$motocross::7410.748548834041$farm::4624.935000015059$parking::16920.807465943628$social_facility::1541.2700000097116$post_box::2351.8699999940127$leisure and sport::50818.08505184445$school::11775.164999999515$health related activity::810.4549999936181$roof::152.50000000317814$toilets::40496.959878711066$sport::43051.09875610494$judo::1773.2850000260491$carport::34.18000000074273$
7,34&&50%_%_::10201$35&&60%_%_::8499$36&&69%_%_::9708$37&&10%_%_::16137$38&&32%_%_::21566$39&&80%_%_::5947$40&&103%_%_::3399$,home::3523519.404964111$Annexe::1044894.9400000356$farm::191639.54000016997$office::868786.2699983873$shop::160594.6190294487$childcare::689.7657153775291$parking::151101.08775925156$vending_machine::22438.479041145576$bench::5945.729651531617$leisure and sport::188772.0927763945$restaurant::37727.33727728524$other_activity::84956.1335822062$atm::3262.779999983653$greenhouse::49416.636361102406$health related activity::25665.44500000547$school::77470.7387641294$engineer::40.64000000017928$toilets::4036.523529314448$roof::5617.694999967627$dormitory::6315.605000012355$car_wash::525.4482952070508$bicycle_parking::16129.09085291267$newsagent::2129.305470190575$paint::749.0349999980047$motorcycle_parking::71505.62347744049$kindergarten::799.8997781431702$sport::24755.66314572995$parking_entrance::25360.69455139602$recycling::9177.062311705982$fountain::1070.6124968937922$notary::582.4549999973551$motorcycle::678.1150000067335$post_box::3159.029999995661$warehouse::1841.1149999947893$college::7553.689999937361$parking_space::190.5385193423569$service::1700.4635053492407$outside_sport::795.066067543866$rental::867.8049999955099$social_facility::14595.849999995851$grandstand::5149.625000019999$shed::25.409999998703135$community_centre::299.36999999715016$waste_basket::13856.72855947721$archery::7443.665204917994$car_rental::894.5500000083993$hat::59.38499999880209$motor::223.1941645361968$bicycle_parking;motorcycle_parking::98.49999999715948$kitchen::1331.3249999829625$cinema::4158.810000018103$bocce::932.3558012656772$animal_shelter::511.59637928679$houseware::41.38500000033877$general::1040.444999999432$household_linen::62.85999999762047$financial::120.55499999707565$music_school::177.90000000015135$sailing::1073.7415045925397$money_transfer::121.76499999884633$park::2893.1300000969595$construction::4408.4943741305815$driving_school::828.5000000108732$doityourself::2706.4799999973898$garage::913.6400000026531$multi;fencing;handball;boxing;basketball::2771.4949999870223$trade::634.7799999968196$rugby_union::11662.67230971693$basketball; handball::811.311044048816$bed::244.33500000163684$mortuary::216.89000000526664$workship::40.12499999825377$semidetached_house::105.51000000010593$public::1305.6550000018894$bleacher::1537.0199999859801$boat_storage::649.239999954335$ship_chandler::649.239999954335$flooring::512.9999999943946$terrace::29.769862379990986$deli::160.79500000144589$boutique::102.80499999991036$sewing::80.72999999839696$stadium::8459.71999998924$shelter::68.6799999970931$running::25938.49615513882$clinic::112.68499999309773$accountant::406.7050000051607$
8,41&&10%_%_::48$42&&32%_%_::44$43&&50%_%_::26$44&&69%_%_::37$45&&60%_%_::32$46&&80%_%_::28$,other_activity::558.5500000054192$home::27848.760015819185$Annexe::2915.665000013934$farm::461.72499998817796$office::879.695000117157$lavoir::36.29500000040397$leisure and sport::672.9022093289404$parking::875.0770965299961$shelter::100.01000000114786$
9,47&&103%_%_::227$48&&69%_%_::645$49&&80%_%_::364$50&&32%_%_::1436$51&&50%_%_::617$52&&10%_%_::971$53&&60%_%_::559$,Annexe::52456.72499996139$leisure and sport::10751.814642514908$home::322788.46191745537$office::33911.47499988181$shop::1117.5000000105356$post_box::512.7199999915506$restaurant::731.5149999958021$other_activity::2838.433752326721$shelter::94.70999999950641$health related activity::88.32999999894412$roof::62.82499999922584$driving_school::262.7450000006717$parking::7737.577351033474$fire_station::822.170000006964$service::53.11500002024928$social_facility::1199.5199999920628$kindergarten::472.45999999575787$farm::741.7200000121212$school::376.44499999954246$
10,54&&32%_%_::230$55&&10%_%_::203$56&&69%_%_::111$57&&60%_%_::136$58&&80%_%_::58$59&&50%_%_::124$60&&103%_%_::31$,home::145203.37551953152$Annexe::29253.885000022678$office::18740.865000157166$farm::1487.7949999962536$shop::1131.079999990603$bunker::1840.3785850593106$parking::7589.885004124167$other_activity::16770.275767983294$leisure and sport::1160.7550000078033$school::327.4250000125321$toilets::87.66500000019674$post_box::104.70000000246216$cowshed::320.7649999964191$restaurant::270.8399999993818$shelter::41.42000000021188$drinking_water::4132.755940980864$vending_machine::185.45999999803956$bench::101.40500000028872$fire_station::655.3049999944272$oven::65.75000000145519$roof::52.444999997860286$
12,61&&32%_%_::3771$62&&10%_%_::2843$63&&50%_%_::1790$64&&69%_%_::1649$65&&80%_%_::1059$66&&60%_%_::1560$67&&103%_%_::607$,home::387546.16304144997$Annexe::173192.04000007032$office::85464.27000012292$other_activity::4315.004999978845$shop::4354.499999982072$roof::420.21499999148307$health related activity::2159.0200000173013$leisure and sport::48521.46236543189$parking::9175.820289343657$service::472.25499999030023$toilets::1511.6999999002437$atm::258.3600000022887$social_facility::2326.870000015451$diplomatic::164.320000003553$railway::7154.361471346783$motorcycle_parking::7154.361471346783$college::259.6399999951385$public::259.6399999951385$restaurant::542.4350000126846$
