Zonage_bis_ZONE_MORPHO;ZONE;NUMECH;P01;D1;D2_A;D2_B;D3;Zonage_bis_1_ZONE_MORPHO;D4H;D4M;D5_A;D5_B;D6;D7;Zonage_bis_2_ZONE_MORPHO;D8H;D8M;D9;D10;COEP
;001001;037;01;08;01;;001001;;18;15;53;;;002001;1;18;35;20;0;40.147
;001001;038;01;01;01;;001001;;12;0;52;;;004002;1;12;15;15;0;40.147
;001001;038;01;03;01;;001001;;15;0;52;;;007006;1;15;35;35;0;40.147
;001001;072;01;01;01;;001001;;10;0;41;;;003005;1;10;30;30;1;25.457
;001001;072;01;03;42;;017002;;12;0;33;;;002004;1;12;15;15;0;25.457
;001001;072;02;01;01;;001001;;10;0;51;;;007003;1;10;15;15;1;25.457
;001001;105;01;01;01;;001001;;9;0;12;;;002004;1;9;30;30;1;40.147
;001001;105;01;02;12;;002004;1;13;0;53;;;002004;1;13;5;5;0;40.147
;001001;105;01;03;53;;002004;1;14;30;12;;;002004;1;14;35;5;0;40.147
;001001;119;01;02;43;;005004;;9;0;42;;;007004;1;9;45;45;2;40.147
;001001;120;01;01;01;;001001;;7;30;41;;;007006;1;7;40;10;1;40.147
;001001;137;01;01;01;;001001;;8;0;11;;;007002;1;8;15;15;0;34.599
;001001;149;01;01;01;;001001;;9;0;41;;;002004;1;9;45;45;1;40.147
;001001;160;02;01;01;;001001;;8;10;11;;;003005;1;8;30;20;1;34.599
;001001;160;02;03;01;;001001;;13;40;11;;;003005;1;14;0;20;0;34.599
;001001;160;02;05;33;;017004;;18;10;33;;;003003;1;18;30;20;1;34.599
;001001;179;01;01;01;;001001;;7;45;11;;;007009;1;7;50;5;0;40.147
;001001;179;01;02;11;;007009;1;11;30;31;;;002001;1;11;40;10;0;40.147
;001001;179;01;03;31;;002001;1;12;20;11;;;007009;1;12;30;10;0;40.147
;001002;009;01;01;11;;009002;;7;0;64;02;;007006;1;7;45;45;1;24.609
;001002;013;01;01;01;;001002;;7;0;11;;;031002;2;7;25;25;1;25.457
;001002;013;02;01;01;;001002;;9;0;11;;;002002;1;9;10;10;0;25.457
;001002;013;02;03;01;;001002;;13;0;11;;;002002;1;13;10;10;0;25.457
