Zonage_bis_ZONE_MORPHO;ZONE;NUMECH;P01;D1;D2_A;D2_B;D3;Zonage_bis_1_ZONE_MORPHO;D4H;D4M;D5_A;D5_B;D6;D7;Zonage_bis_2_ZONE_MORPHO;D8H;D8M;D9;D10;COEP
;001001;037;01;09;53;;002001;1;24;15;01;;;001001;;24;40;25;0;40.147
;001001;038;01;02;52;;004002;1;12;15;01;;;001001;;12;30;15;0;40.147
;001001;038;01;04;52;;007006;1;15;35;01;;;001001;;16;10;35;0;40.147
;001001;072;01;02;41;;003005;1;11;20;42;;;017002;;11;45;25;1;25.457
;001001;072;01;04;33;;002004;1;12;30;01;;;001001;;13;0;30;0;25.457
;001001;072;02;02;51;;007003;1;11;45;01;;;001001;;12;0;15;1;25.457
;001001;105;01;02;12;;002004;1;13;0;53;;;002004;1;13;5;5;0;40.147
;001001;105;01;03;53;;002004;1;14;30;12;;;002004;1;14;35;5;0;40.147
;001001;105;01;04;12;;002004;1;17;0;01;;;001001;;17;20;20;0;40.147
;001001;119;01;03;42;;007004;1;9;50;54;;;008004;;10;0;10;0;40.147
;001001;120;01;02;41;;007006;1;8;0;41;;;024007;;8;15;15;1;40.147
;001001;137;01;02;11;;007002;1;20;30;01;;;001001;;20;45;15;0;34.599
;001001;149;01;02;41;;002004;1;10;45;01;;;001001;;11;30;45;1;40.147
;001001;160;02;02;11;;003005;1;12;0;01;;;001001;;12;20;20;0;34.599
;001001;160;02;04;11;;003005;1;17;30;33;;;017004;;18;0;30;1;34.599
;001001;160;02;06;33;;003003;1;18;40;01;;;001001;;18;55;15;1;34.599
;001001;179;01;02;11;;007009;1;11;30;31;;;002001;1;11;40;10;0;40.147
;001001;179;01;03;31;;002001;1;12;20;11;;;007009;1;12;30;10;0;40.147
;001001;179;01;04;11;;007009;1;17;30;01;;;001001;;17;35;5;0;40.147
;001002;009;01;02;62;02;007006;1;8;0;01;;;001002;;8;15;15;0;24.609
;001002;009;02;01;02;;007006;1;8;0;01;;;001002;;8;15;15;0;24.609
;001002;013;01;02;11;;031002;2;12;0;01;;;001002;;12;30;30;1;25.457
;001002;013;02;02;11;;002002;1;12;0;01;;;001002;;12;10;10;0;25.457
;001002;013;02;04;11;;002002;1;18;0;01;;;001002;;18;10;10;0;25.457
;001002;013;03;02;24;;007009;1;12;0;01;;;001002;;12;10;10;0;25.457
;001002;013;03;04;24;;007009;1;17;0;01;;;001002;;17;10;10;0;25.457
;001002;023;03;06;51;;002004;1;16;0;01;;;001002;;16;30;30;1;24.609
;001002;049;02;05;33;;035001;2;14;35;01;;;001002;;15;0;25;1;34.599
;001002;058;03;02;24;;007009;1;13;30;01;;;001002;;13;40;10;0;12.487
;001002;058;03;04;24;;007009;1;18;15;01;;;001002;;18;25;10;0;12.487
;001002;061;01;02;54;;004003;1;16;0;33;;;001002;;16;20;20;0;40.147
;001002;066;01;02;11;;003003;1;12;0;53;;;002004;1;12;10;10;0;40.147
;001002;066;01;03;53;;002004;1;12;55;11;;;003003;1;13;0;5;0;40.147
;001002;066;01;04;11;;003003;1;17;45;01;;;001002;;18;5;20;0;40.147
;001002;079;01;04;33;;002002;1;18;30;01;;;001002;;18;40;10;0;12.487
;001002;080;01;02;11;;007009;1;12;0;53;;;002001;1;12;10;10;0;24.609
;001002;080;01;03;53;;002001;1;13;30;11;;;007009;1;13;40;10;0;24.609
;001002;080;01;04;11;;007009;1;17;30;33;;;007009;1;17;45;15;0;24.609
;001002;080;01;05;33;;007009;1;17;50;32;;;006005;;17;55;5;0;24.609
;001002;092;01;07;53;;007006;1;23;30;01;;;001002;;23;35;5;1;25.457
;001002;092;02;02;11;;002004;1;13;45;01;;;001002;;13;55;10;1;25.457
;001002;092;02;07;53;;007006;1;23;30;01;;;001002;;23;35;5;1;25.457
;001002;096;01;05;12;;002004;1;20;15;01;;;001002;;20;45;30;0;34.599
;001002;106;01;08;33;;007004;1;17;30;01;;;001002;;18;0;30;0;40.147
;001002;161;01;02;11;;002003;1;13;30;53;;;002001;1;13;45;15;0;34.599
;001002;161;01;03;53;;002001;1;14;45;11;;;002003;1;15;0;15;0;34.599
;001002;161;01;04;11;;002003;1;21;0;01;;;001002;;21;15;15;0;34.599
;001002;171;01;02;11;;007006;1;17;0;01;;;001002;;17;10;10;1;40.147
;001002;180;01;02;11;;007009;1;18;45;51;;;040001;;19;5;20;1;34.599
;001002;183;01;02;11;;007051;1;16;0;01;;;001002;;16;5;5;1;24.609
;001002;197;01;05;62;22;007002;1;17;0;51;;;007009;1;17;10;10;0;34.599
;001002;197;01;06;51;;007009;1;17;45;01;;;001002;;18;0;15;0;34.599
;001002;197;02;02;62;22;007002;1;17;0;51;;;007009;1;17;10;10;0;34.599
;001002;197;02;03;51;;007009;1;17;45;01;;;001002;;18;0;15;0;34.599
;001003;005;01;03;11;;007007;1;12;30;42;;;006005;;12;40;10;0;34.599
;001003;005;01;05;11;;007007;1;17;45;33;;;006005;;17;50;5;0;34.599
;001003;005;02;02;53;;007009;1;12;40;71;01;;001003;;12;45;5;0;34.599
;001003;006;03;02;24;;007009;1;12;0;01;;;001003;;12;15;15;0;24.609
;001003;006;03;04;24;;007009;1;17;0;01;;;001003;;17;15;15;0;24.609
;001003;006;03;06;52;;007009;1;19;55;01;;;001003;;20;10;15;0;24.609
;001003;012;01;04;63;32;002003;1;19;20;33;;;006005;;19;30;10;1;24.609
;001003;012;02;02;24;;007009;1;12;10;01;;;001003;;12;15;5;0;24.609
;001003;012;02;04;24;;007009;1;16;0;01;;;001003;;16;5;5;0;24.609
;001003;012;03;04;32;;002003;1;18;30;51;;;017001;;18;45;15;1;24.609
;001003;012;03;07;51;;002003;1;27;15;01;;;001003;;27;30;15;0;24.609
;001003;020;01;05;54;;007009;1;17;50;01;;;001003;;18;10;20;0;40.147
;001003;045;01;02;11;;002003;1;12;30;32;;;002002;1;12;40;10;0;24.609
;001003;045;01;03;32;;002002;1;13;10;52;;;002004;1;13;35;25;0;24.609
;001003;045;01;04;52;;002004;1;13;35;11;;;002003;1;14;0;25;0;24.609
;001003;045;01;05;11;;002003;1;18;0;01;;;001003;;18;10;10;0;24.609
;001003;045;03;02;24;;002002;1;12;0;01;;;001003;;12;5;5;0;24.609
;001003;050;01;02;11;;035002;2;11;50;54;;;056001;;12;10;20;1;40.147
;001003;050;01;04;11;;035002;2;17;0;01;;;001003;;17;50;50;1;40.147
;001003;051;02;06;52;;002003;1;22;30;01;;;001003;;22;45;15;0;34.599
;001003;053;01;02;12;;002003;1;5;15;11;;;002004;1;5;20;5;0;24.609
;001003;053;01;03;11;;002004;1;9;30;42;;;002003;1;9;40;10;0;24.609
;001003;053;01;04;42;;002003;1;9;42;01;;;001003;;9;52;10;0;24.609
;001003;057;02;02;11;;007051;1;13;50;01;;;001003;;14;0;10;0;21.725
;001003;057;04;02;24;;007009;1;17;0;01;;;001003;;17;10;10;0;21.725
;001003;060;01;02;11;;003003;1;15;30;01;;;001003;;15;50;20;0;40.147
;001003;060;01;04;11;;003003;1;22;30;01;;;001003;;22;50;20;0;40.147
;001003;069;01;02;32;;002001;1;11;0;33;;;002002;1;11;5;5;0;40.147
;001003;069;01;03;33;;002002;1;11;45;01;;;001003;;12;30;45;0;40.147
;001003;074;02;02;11;;007005;1;15;0;41;;;027001;;16;0;60;1;25.457
;001003;074;02;04;32;;002002;1;17;45;41;;;001003;;18;0;15;0;25.457
;001003;074;03;02;24;;007009;1;16;30;01;;;001003;;16;40;10;0;25.457
