ZONE_MORPHO;ZONE;NUMECH;P01;D1;D2_A;D2_B;D3;D4H;D4M;D5_A;D5_B;D6;D7;D8H;D8M;D9;D10;COEP
3;046001;008;01;01;01;;046001;8;0;11;;;027001;8;45;45;1;118.427
3;046001;008;01;02;11;;027001;16;0;64;22;;049004;16;30;30;1;118.427
3;046001;008;01;03;62;22;049004;16;40;61;51;;046001;17;0;20;1;118.427
3;046001;008;01;04;63;51;046001;17;2;32;;;057008;17;5;3;1;118.427
3;046001;008;01;05;32;;057008;17;55;64;51;;046001;18;0;5;1;118.427
3;046001;008;01;06;62;51;046001;18;5;01;;;046001;18;15;10;1;118.427
3;046001;008;02;01;01;;046001;8;20;61;22;;049004;8;30;10;1;118.427
3;046001;008;02;02;63;22;049004;8;40;11;;;027001;9;25;45;1;118.427
3;046001;008;02;03;11;;027001;11;30;12;;;013051;11;50;20;1;118.427
3;046001;008;02;04;12;;013051;13;40;11;;;027001;14;0;20;1;118.427
3;046001;008;02;05;11;;027001;18;30;01;;;046001;19;0;30;1;118.427
3;046001;008;03;01;01;;046001;8;20;22;;;049004;8;30;10;1;118.427
3;046001;008;03;02;22;;049004;16;40;61;51;;046001;17;0;20;1;118.427
3;046001;008;03;03;63;51;046001;17;2;32;;;057008;17;5;3;1;118.427
3;046001;008;03;04;32;;057008;17;55;64;51;;046001;18;0;5;1;118.427
3;046001;008;03;05;62;51;046001;18;5;01;;;046001;18;15;10;1;118.427
3;046001;008;04;01;01;;046001;8;20;22;;;049004;8;30;10;1;118.427
3;046001;008;04;02;22;;049004;16;40;51;;;046001;17;0;20;1;118.427
3;046001;008;04;03;51;;046001;18;5;01;;;046001;18;15;10;1;118.427
3;046001;008;05;01;01;;046001;8;20;22;;;049004;8;30;10;1;118.427
3;046001;008;05;02;22;;049004;16;40;51;;;046001;17;0;20;1;118.427
3;046001;008;05;03;51;;046001;18;5;01;;;046001;18;15;10;1;118.427
3;046001;009;01;01;01;;046001;7;30;42;;;081010;9;0;90;1;55.632
