FICHE;DATE;ZONE;NUMECH;MP4;P9_PREF;MP5;MP6;MP7;MP8;MP9;MP10;MP11;MP12;MP13;MP14;MP15;MP16;MP17;MP18;M1;M2;M3;M4;M5;M6;M7_1;M8_1;M9_1;M10_1;M11_1;M12_1;M13_1;M7_2;M8_2;M9_2;M10_2;M11_2;M12_2;M13_2;M7_3;M8_3;M9_3;M10_3;M11_3;M12_3;M13_3;M7_4;M8_4;M9_4;M10_4;M11_4;M12_4;M13_4;COEM
1 ;141108;001001;025;4;7;00;00;00;00;00;00;0;01;00;01;00;1;7;071;4;4;1;1;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;210109;001001;037;2;1;09;00;04;00;00;05;1;01;00;01;00;1;1;062;3;4;1;4;1;1;1;1;1998;04;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;021208;001001;038;1;8;06;00;00;00;00;06;1;00;01;01;00;2;8;049;4;4;2; ;1;1;1;3;1990;05;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;101208;001001;039;2;7;02;00;00;00;00;02;0;00;01;01;00;2;7;078;4;4;2; ;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;280309;001001;052;5;1;13;00;04;00;00;09;2;02;03;04;00;2;1;040;4;1;1;4;1;2;1;3;2006;06;1;1;3;1;1;2008;06;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;012.487
1 ;181208;001001;063;3;1;04;00;02;00;00;02;1;00;01;01;00;2;1;056;4;3;1;3;1;1;1;2;1991;06;1;3;4; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;161208;001001;064;1;7;04;00;00;00;00;04;0;01;00;01;00;1;7;070;2;4;1;1;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;200109;001001;072;1;1;10;02;06;00;00;02;1;03;01;02;02;2;6;031;4;2;1;4;1;1;1;1;1996;07;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;025.457
1 ;200209;001001;076;4;7;03;00;00;00;00;03;0;01;00;01;00;1;7;080;4;4;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;200109;001001;084;1;7;00;00;00;00;00;00;0;01;00;01;00;1;7;081;4;1;2; ;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
