FICHE;ZONE;NUMECH;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15A;P15B;P16;P17A;P17B;P18A;P18B;P19;P20;P21;P22;P23;P24A;P24B;P25;COEP
2 ;001001;025;01;1;1;071;2;2;1;5;7;0;36;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;5;5;5;2;040.147
2 ;001001;037;01;1;1;062;1;1;1;2;1;0;36;3; ;2;021006;07;1;2; ;2; ;5;5;1;4;2;5;5;1;040.147
2 ;001001;038;01;2;1;049;1;1;1;5;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;2;5;1;3;3;1;040.147
2 ;001001;039;01;2;1;078;2;2;1;3;7;0;32;2;1; ;      ;  ; ; ; ;2; ;5;5;5;5;1;4;5;1;040.147
2 ;001001;052;01;1;1;042;1;1;1;5;1;0;31;3; ;2;006003;17;1;2; ;2; ;5;5;1;4;4;5;5;1;012.487
2 ;001001;052;02;2;2;040;1;1;1;5;1;0;41;3; ;2;006005;17;1;1; ;2; ;5;5;1;3;4;5;5;1;012.487
2 ;001001;052;03;1;3;010;2;2;2;0;5;0;83;3; ;2;005001;  ; ; ; ;2; ;5;5;5;1;4;5;5;1;012.487
2 ;001001;052;04;2;3;006;2;2;2;0;5;0;83;3; ;2;005001;  ; ; ; ;2; ;5;5;5;1;4;5;5;1;012.487
2 ;001001;052;05;2;3;003; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;012.487
2 ;001001;063;01;2;1;056;1;1;1;3;1;0;56;3; ;2;001001;19;1;1; ;2; ;5;5;1;4;5;5;5;1;040.147
2 ;001001;064;01;1;1;070;1;1;1;5;7;0;41;3; ; ;      ;  ; ; ; ;2; ;3;3;5;4;3;5;5;1;040.147
2 ;001001;072;01;2;2;031;1;1;1;3;6;0;46;3; ; ;      ;  ; ; ; ;2; ;5;4;4;4;3;5;5;1;025.457
2 ;001001;072;02;1;1;028;1;1;1;3;1;0;41;3; ;2;002001;14;2; ;1;2; ;5;2;3;4;2;5;4;1;025.457
2 ;001001;072;03;1;3;001; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;025.457
2 ;001001;072;04;1;3;001; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;025.457
2 ;001001;076;01;1;1;080;2;2;2;7;7;0;61;3; ; ;      ;  ; ; ; ;1;9;5;4;5;4;5;5;5;1;040.147
2 ;001001;084;01;1;1;081;2;2;1;3;7;0;21;3; ; ;      ;  ; ; ; ;2; ;3;5;5;5;5;5;4;2;040.147
2 ;001001;105;01;2;1;056;1;1;1;5;1;0;32;3; ;2;024051;16;3; ;2;2; ;4;5;1;5;2;5;3;1;040.147
