,Agriculteurs exploitants,Artisans commerçants chefs d'entreprise,Cadres et professions intellectuelles supérieures,Professions intermédiaires,Employés,Ouvriers,Retraités,Autres personnes sans activité professionnelle
15 à 19 ans,5,88,16,423,1374,2829,0,23951
20 à 24 ans,16,568,1087,3355,4912,6177,0,9204
25 à 29 ans,25,1626,3672,5221,5212,7062,0,3045
30 à 34 ans,72,2705,5052,6014,4688,7462,9,1963
35 à 39 ans,64,3385,6157,6515,4656,6814,54,1793
40 à 44 ans,89,4113,6884,6350,4814,6838,28,1802
45 à 49 ans,97,4569,6887,6559,4791,7038,101,2241
50 à 54 ans,99,5048,6493,6496,4447,7214,243,2880
55 à 59 ans,152,4334,6077,5721,3823,5933,1774,3171
60 à 64 ans,61,2509,3335,2272,1621,2448,14353,1643
65 ans ou plus,90,1621,1778,1058,564,804,94045,1666
Ensemble,771,30567,47439,49985,40902,60618,110606,53361
