id;the_geom;fid;cat;type
rooms.1;MULTIPOLYGON (((0.0002357307222237 -0.0001092356747445, 0.0002633975931787 -0.0001093554319826, 0.0002628809821388 -0.0001364871021964, 0.0002348445109764 -0.0001365786914616, 0.0002357307222237 -0.0001092356747445)));1;1;admission_room
rooms.2;MULTIPOLYGON (((0.0002628351150743 -0.0001388959780845, 0.0002619890643315 -0.000183329348514, 0.0002338650746965 -0.0001833060599829, 0.0002347803026518 -0.0001389876271336, 0.0002628351150743 -0.0001388959780845)));2;2;stairway
rooms.3;MULTIPOLYGON (((0.0002661766826353 -0.0001833328161376, 0.0002670456119081 -0.0001376978896144, 0.0002670456119111 -0.0001376978894574, 0.000267585030688 -0.0001093683950624, 0.0003379507167813 -0.000109498507375, 0.0003379410174465 -0.0001833922417613, 0.0002661766826353 -0.0001833328161376)));3;3;meeting_room
rooms.4;MULTIPOLYGON (((0.0003421284508015 -0.0001833957092333, 0.0003421381490638 -0.0001095101654383, 0.0004122472564775 -0.0001097702828391, 0.000412690351361 -0.0001834541391595, 0.0003421284508015 -0.0001833957092333)));4;4;ward
rooms.5;MULTIPOLYGON (((0.0004168778316779 -0.0001834576066729, 0.000416434785747 -0.0001097818903521, 0.0004867815735232 -0.0001099119677283, 0.0004874641335486 -0.0001835160568043, 0.0004168778316779 -0.0001834576066729)));5;5;ward
rooms.6;MULTIPOLYGON (((0.000491651660309 -0.00018351952435, 0.0004909691398186 -0.0001099196983111, 0.00056154715435 -0.0001100497822579, 0.0005618591387918 -0.0001835776607918, 0.000491651660309 -0.00018351952435)));6;6;ward
rooms.7;MULTIPOLYGON (((0.0003704671074358 -0.0000774998112548, 0.0003533344739535 -0.0000775414667332, 0.0003536306947798 -0.0000516294329076, 0.000370844259119 -0.0000515088252627, 0.0003704671074358 -0.0000774998112548)));7;7;clean_storage
rooms.8;MULTIPOLYGON (((0.0003491468331334 -0.0000775516483628, 0.0003246881612082 -0.0000776111160217, 0.0003251251426271 -0.0000251507698724, 0.000325301120644 -0.0000040243344705, 0.0003715303423528 -0.0000042281714991, 0.0003708792174702 -0.000049099713924, 0.000351525033658 -0.0000492353200124, 0.0003513404835824 -0.0000492470826899, 0.0003511555824521 -0.0000492568523744, 0.0003511366820778 -0.0000492600723958, 0.0003511170900383 -0.0000492613211343, 0.0003509400754571 -0.0000492935679102, 0.0003507620406255 -0.0000493238993817, 0.0003507445955163 -0.0000493291785232, 0.0003507258034533 -0.0000493326018741, 0.000350563126938 -0.00004938409352, 0.0003503988001841 -0.0000494338211562, 0.0003503834807448 -0.0000494409565414, 0.0003503662108266 -0.0000494464229507, 0.0003502241239443 -0.0000495151806695, 0.0003500798202524 -0.0000495823934692, 0.0003500672152016 -0.0000495911108861, 0.0003500521311015 -0.000049598410281, 0.0003499360941712 -0.000049681791758, 0.0003498173590521 -0.0000497639067635, 0.0003498079527937 -0.0000497738712118, 0.0003497956341851 -0.0000497827230855, 0.0003497101064414 -0.0000498775240099, 0.0003496215028182 -0.0000499713855936, 0.0003496156568302 -0.0000499822141435, 0.0003496065771103 -0.0000499922783139, 0.0003495548453359 -0.0000500948555472, 0.000349499778197 -0.0000501968566602, 0.0003494977171365 -0.0000502081331771, 0.0003494922252345 -0.0000502190228874, 0.0003494762774522 -0.000050325434443, 0.000349456862996 -0.0000504316552355, 0.0003491468331334 -0.0000775516483628)));8;8;nurse_room
rooms.9;MULTIPOLYGON (((0.0003746546468097 -0.0000775026066268, 0.0003750493851349 -0.000050299650159, 0.0003750493851371 -0.0000502996500065, 0.0003757176543835 -0.0000042466344776, 0.0004356242270693 -0.0000045107786124, 0.0004357140709561 -0.0000777298857039, 0.0003746546468097 -0.0000775026066268)));9;9;ward
rooms.10;MULTIPOLYGON (((0.0004399015262149 -0.0000777458699092, 0.000439811685378 -0.0000045292422371, 0.0004976119163547 -0.0000047840989484, 0.0004977895138948 -0.0000779724129628, 0.0004399015262149 -0.0000777458699092)));10;10;ward
rooms.11;MULTIPOLYGON (((0.0005019769826511 -0.0000779845952359, 0.0005017994003599 -0.0000048025626853, 0.0005624137157901 -0.0000050698274494, 0.0005620020788305 -0.0000780981592644, 0.0005019769826511 -0.0000779845952359)));11;11;ward
rooms.12;MULTIPOLYGON (((0.0003209277647124 -0.0000263388459426, 0.000320500679077 -0.0000776111650194, 0.0002747169503273 -0.0000774998488407, 0.0002746561646555 -0.0000403859117071, 0.0002746561646555 -0.0000403859115949, 0.0002746327782977 -0.0000261068292602, 0.0003209277647124 -0.0000263388459426)));12;12;injecting_room
rooms.13;MULTIPOLYGON (((0.0002704706841184 -0.00004157923191, 0.0002705294829556 -0.0000774801431694, 0.000235894384343 -0.0000772397961012, 0.0002352337623377 -0.000041373377512, 0.0002704706841184 -0.00004157923191)));13;13;elevator
rooms.14;MULTIPOLYGON (((0.0003211137927099 -0.0000040058714194, 0.0003209478282907 -0.0000239301675915, 0.0002746288331692 -0.0000236980308038, 0.000274596245247 -0.0000038007630814, 0.0003211137927099 -0.0000040058714194)));14;14;medicine_storage
rooms.15;MULTIPOLYGON (((0.0002704667388278 -0.000039170397397, 0.0002352371661809 -0.0000389645861032, 0.0002360010737173 -0.0000036305866313, 0.0002704087799074 -0.0000037822994238, 0.0002704433552436 -0.0000248930714235, 0.0002704433552503 -0.0000248930714639, 0.0002704433552438 -0.0000248930714997, 0.0002704667388278 -0.000039170397397)));15;15;elevator
rooms.16;MULTIPOLYGON (((0.0000039550039021 -0.0001092257293149, 0.000056807594451 -0.0001091712105213, 0.0000543981423799 -0.0001840967293068, 0.000002262024724 -0.0001841924873931, 0.0000039550039021 -0.0001092257293149)));16;16;ward
rooms.17;MULTIPOLYGON (((0.0000585865375776 -0.0001840890365097, 0.0000609954092398 -0.0001091815664193, 0.0001121003979139 -0.0001094922018745, 0.0001109426930759 -0.0001664315686618, 0.0001109426930879 -0.0001664315687381, 0.0001109426930727 -0.0001664315688189, 0.0001105856191962 -0.0001839935301176, 0.0000585865375776 -0.0001840890365097)));17;17;head_doctor_room
rooms.18;MULTIPOLYGON (((0.0001147734938877 -0.0001839858382742, 0.0001151055411126 -0.0001676547654393, 0.0001692005233865 -0.0001677791853245, 0.0001926669343218 -0.0001679132647867, 0.000192334235687 -0.0001838433829348, 0.0001147734938877 -0.0001839858382742)));18;18;doctor_room
rooms.19;MULTIPOLYGON (((0.0001671477431342 -0.0001653657578715, 0.0001151545133401 -0.0001652461723161, 0.0001162878711492 -0.0001095042552093, 0.0001683733237055 -0.0001094852724806, 0.0001671477431342 -0.0001653657578715)));19;19;
rooms.20;MULTIPOLYGON (((0.0000571305677562 -0.0000762187655725, 0.0000043290787072 -0.0000763582983769, 0.0000067984190987 -0.0000027092951832, 0.0000586117381163 -0.0000029399792343, 0.0000571305677562 -0.0000762187655725)));20;20;ward
rooms.21;MULTIPOLYGON (((0.0001126677112712 -0.0000766905013431, 0.0000613180133175 -0.000076232071153, 0.0000627990758015 -0.0000029586221633, 0.0001139808423545 -0.000003186494415, 0.0001138551171431 -0.0000197456271196, 0.0001126677112712 -0.0000766905013431)));21;21;minor_operation_room
rooms.22;MULTIPOLYGON (((0.0001168551621948 -0.0000767040357374, 0.0001180171234735 -0.0000209794274656, 0.000169252557974 -0.0000214610828911, 0.0001687711885737 -0.0000765799269644, 0.0001168551621948 -0.0000767040357374)));22;22;admission_room
rooms.23;MULTIPOLYGON (((0.0001180515093897 -0.0000185707425508, 0.0001181681726913 -0.0000032051373077, 0.0001993218131779 -0.0000035664507997, 0.0001997639176411 -0.0000189752978736, 0.0001713675600512 -0.0000190719572323, 0.0001180515093897 -0.0000185707425508)));23;23;isolation_room
