ID;__type;EMPSTAT;INDGEN;SEX;AGE;EMPSTATD;parentId;parent__type;HHTYPE;count_parent_children;count_children
PERNUM_926;PERNUM;"1";"10";"1";"45";"110";SERIAL_925;SERIAL;"3";4;0
PERNUM_1399;PERNUM;"1";"10";"1";"21";"110";SERIAL_1398;SERIAL;"6";5;0
PERNUM_994;PERNUM;"1";"30";"2";"23";"110";SERIAL_989;SERIAL;"10";6;0
PERNUM_1751;PERNUM;"0";"0";"1";"10";"0";SERIAL_1745;SERIAL;"3";6;0
PERNUM_377;PERNUM;"0";"0";"2";"7";"0";SERIAL_374;SERIAL;"3";4;0
PERNUM_1672;PERNUM;"1";"100";"1";"46";"110";SERIAL_1668;SERIAL;"10";8;0
PERNUM_808;PERNUM;"1";"10";"2";"37";"110";SERIAL_805;SERIAL;"4";3;0
PERNUM_1420;PERNUM;"0";"0";"1";"1";"0";SERIAL_1416;SERIAL;"10";5;0
PERNUM_1469;PERNUM;"3";"0";"2";"78";"390";SERIAL_1462;SERIAL;"10";7;0
PERNUM_20;PERNUM;"0";"0";"1";"3";"0";SERIAL_17;SERIAL;"3";3;0
PERNUM_3524;PERNUM;"1";"10";"1";"15";"110";SERIAL_3521;SERIAL;"3";4;0
PERNUM_1468;PERNUM;"1";"10";"1";"59";"110";SERIAL_1465;SERIAL;"10";6;0
PERNUM_638;PERNUM;"1";"10";"2";"33";"110";SERIAL_634;SERIAL;"3";4;0
PERNUM_181;PERNUM;"1";"10";"2";"46";"110";SERIAL_179;SERIAL;"10";6;0
PERNUM_442;PERNUM;"1";"100";"1";"26";"110";SERIAL_438;SERIAL;"6";4;0
PERNUM_3295;PERNUM;"0";"0";"2";"14";"0";SERIAL_3292;SERIAL;"6";4;0
PERNUM_1282;PERNUM;"1";"10";"1";"22";"110";SERIAL_1281;SERIAL;"10";4;0
PERNUM_2308;PERNUM;"0";"0";"2";"5";"0";SERIAL_2307;SERIAL;"6";4;0
PERNUM_2893;PERNUM;"3";"0";"2";"85";"320";SERIAL_2891;SERIAL;"6";6;0
PERNUM_1832;PERNUM;"1";"90";"1";"55";"110";SERIAL_1831;SERIAL;"3";3;0
PERNUM_2734;PERNUM;"1";"10";"1";"40";"110";SERIAL_2732;SERIAL;"3";5;0
PERNUM_1873;PERNUM;"1";"100";"1";"48";"110";SERIAL_1870;SERIAL;"10";10;0
PERNUM_3394;PERNUM;"3";"0";"1";"77";"390";SERIAL_3393;SERIAL;"2";2;0
PERNUM_1151;PERNUM;"1";"10";"2";"18";"110";SERIAL_1148;SERIAL;"6";6;0
PERNUM_314;PERNUM;"1";"10";"2";"45";"110";SERIAL_313;SERIAL;"3";2;0
PERNUM_2034;PERNUM;"3";"0";"1";"51";"390";SERIAL_2032;SERIAL;"2";2;0
PERNUM_223;PERNUM;"0";"0";"2";"1";"0";SERIAL_219;SERIAL;"10";5;0
PERNUM_107;PERNUM;"0";"0";"2";"8";"0";SERIAL_102;SERIAL;"3";5;0
PERNUM_1870;PERNUM;"3";"0";"1";"68";"390";SERIAL_1868;SERIAL;"2";2;0
PERNUM_3530;PERNUM;"1";"10";"1";"27";"110";SERIAL_3526;SERIAL;"3";5;0
PERNUM_1303;PERNUM;"0";"0";"1";"1";"0";SERIAL_1302;SERIAL;"10";6;0
PERNUM_844;PERNUM;"1";"10";"2";"29";"110";SERIAL_842;SERIAL;"10";6;0
PERNUM_2968;PERNUM;"0";"0";"1";"11";"0";SERIAL_2966;SERIAL;"10";4;0
PERNUM_1082;PERNUM;"1";"10";"2";"26";"110";SERIAL_1079;SERIAL;"10";6;0
PERNUM_450;PERNUM;"1";"10";"1";"30";"110";SERIAL_447;SERIAL;"6";5;0
PERNUM_528;PERNUM;"1";"100";"1";"52";"110";SERIAL_526;SERIAL;"2";2;0
PERNUM_2902;PERNUM;"1";"10";"2";"31";"110";SERIAL_2898;SERIAL;"6";7;0
PERNUM_2424;PERNUM;"1";"10";"2";"26";"110";SERIAL_2419;SERIAL;"6";6;0
PERNUM_1086;PERNUM;"1";"10";"2";"51";"110";SERIAL_1084;SERIAL;"3";3;0
PERNUM_2934;PERNUM;"3";"0";"2";"70";"390";SERIAL_2932;SERIAL;"6";5;0
PERNUM_1463;PERNUM;"1";"10";"1";"46";"110";SERIAL_1462;SERIAL;"10";7;0
PERNUM_302;PERNUM;"1";"100";"1";"54";"110";SERIAL_301;SERIAL;"3";3;0
PERNUM_49;PERNUM;"0";"0";"1";"0";"0";SERIAL_10133;SERIAL;"3";4;0
PERNUM_3263;PERNUM;"1";"100";"1";"32";"110";SERIAL_3261;SERIAL;"3";3;0
PERNUM_3535;PERNUM;"1";"10";"2";"35";"110";SERIAL_3529;SERIAL;"3";6;0
PERNUM_712;PERNUM;"1";"10";"1";"36";"110";SERIAL_711;SERIAL;"3";2;0
PERNUM_363;PERNUM;"1";"70";"2";"44";"110";SERIAL_362;SERIAL;"4";2;0
PERNUM_2348;PERNUM;"0";"0";"2";"1";"0";SERIAL_2346;SERIAL;"3";3;0
PERNUM_328;PERNUM;"1";"10";"2";"25";"110";SERIAL_327;SERIAL;"2";2;0
PERNUM_3255;PERNUM;"3";"0";"2";"15";"330";SERIAL_3252;SERIAL;"3";3;0
PERNUM_831;PERNUM;"1";"80";"1";"39";"110";SERIAL_828;SERIAL;"3";3;0
PERNUM_1856;PERNUM;"1";"10";"2";"45";"110";SERIAL_1854;SERIAL;"10";6;0
PERNUM_53;PERNUM;"0";"0";"1";"9";"0";SERIAL_47;SERIAL;"6";9;0
PERNUM_1403;PERNUM;"0";"0";"1";"1";"0";SERIAL_1398;SERIAL;"10";8;0
PERNUM_3376;PERNUM;"0";"0";"2";"1";"0";SERIAL_3373;SERIAL;"3";4;0
PERNUM_218;PERNUM;"0";"0";"2";"13";"0";SERIAL_208;SERIAL;"10";12;0
PERNUM_3387;PERNUM;"0";"0";"1";"13";"0";SERIAL_3386;SERIAL;"3";8;0
PERNUM_212;PERNUM;"0";"0";"1";"3";"0";SERIAL_211;SERIAL;"3";4;0
PERNUM_1042;PERNUM;"1";"10";"1";"16";"110";SERIAL_1041;SERIAL;"10";4;0
PERNUM_372;PERNUM;"1";"10";"2";"18";"110";SERIAL_371;SERIAL;"10";5;0
PERNUM_1581;PERNUM;"1";"60";"1";"53";"110";SERIAL_1579;SERIAL;"3";3;0
PERNUM_272;PERNUM;"0";"0";"1";"7";"0";SERIAL_269;SERIAL;"10";6;0
PERNUM_3683;PERNUM;"0";"0";"2";"0";"0";SERIAL_3679;SERIAL;"6";6;0
PERNUM_3422;PERNUM;"1";"112";"2";"27";"110";SERIAL_3419;SERIAL;"3";3;0
