ID;__type;EMPSTAT;INDGEN;SEX;AGE;EMPSTATD;parentId;parent__type;HHTYPE;count_parent_children;count_children
PERNUM_1;PERNUM;"3";"0";"2";"71";"390";SERIAL_36158;SERIAL;"6";3;0
PERNUM_2;PERNUM;"3";"0";"2";"84";"390";SERIAL_33006;SERIAL;"10";5;0
PERNUM_155;PERNUM;"1";"10";"1";"29";"110";SERIAL_153;SERIAL;"6";3;0
PERNUM_5;PERNUM;"1";"30";"1";"34";"110";SERIAL_30730;SERIAL;"3";4;0
PERNUM_8;PERNUM;"1";"114";"1";"22";"110";SERIAL_32820;SERIAL;"6";6;0
PERNUM_9;PERNUM;"3";"0";"2";"56";"390";SERIAL_34384;SERIAL;"1";1;0
PERNUM_11;PERNUM;"0";"0";"1";"4";"0";SERIAL_31828;SERIAL;"6";5;0
PERNUM_231;PERNUM;"1";"10";"2";"39";"110";SERIAL_228;SERIAL;"3";4;0
PERNUM_12;PERNUM;"1";"10";"2";"33";"110";SERIAL_38205;SERIAL;"6";5;0
PERNUM_14;PERNUM;"0";"0";"2";"4";"0";SERIAL_36982;SERIAL;"3";4;0
PERNUM_17;PERNUM;"1";"112";"2";"28";"110";SERIAL_31469;SERIAL;"3";2;0
PERNUM_16;PERNUM;"1";"30";"2";"32";"110";SERIAL_30551;SERIAL;"3";4;0
PERNUM_21;PERNUM;"0";"0";"2";"1";"0";SERIAL_30943;SERIAL;"10";8;0
PERNUM_525;PERNUM;"0";"0";"1";"2";"0";SERIAL_524;SERIAL;"10";7;0
PERNUM_22;PERNUM;"1";"10";"2";"42";"110";SERIAL_36008;SERIAL;"6";6;0
PERNUM_24;PERNUM;"3";"0";"2";"17";"330";SERIAL_36498;SERIAL;"10";8;0
PERNUM_25;PERNUM;"1";"10";"1";"69";"110";SERIAL_33645;SERIAL;"3";3;0
PERNUM_201;PERNUM;"1";"10";"2";"16";"110";SERIAL_196;SERIAL;"10";7;0
PERNUM_1169;PERNUM;"3";"0";"2";"21";"330";SERIAL_1168;SERIAL;"10";2;0
PERNUM_26;PERNUM;"1";"114";"1";"18";"110";SERIAL_36658;SERIAL;"10";4;0
PERNUM_28;PERNUM;"1";"10";"2";"22";"110";SERIAL_31125;SERIAL;"10";3;0
PERNUM_29;PERNUM;"1";"10";"2";"25";"110";SERIAL_37968;SERIAL;"3";4;0
PERNUM_1079;PERNUM;"1";"10";"2";"55";"110";SERIAL_1078;SERIAL;"2";2;0
PERNUM_33;PERNUM;"3";"0";"2";"55";"390";SERIAL_37271;SERIAL;"3";3;0
PERNUM_35;PERNUM;"1";"10";"1";"42";"110";SERIAL_37561;SERIAL;"3";3;0
PERNUM_36;PERNUM;"1";"113";"2";"29";"110";SERIAL_34218;SERIAL;"10";5;0
PERNUM_37;PERNUM;"0";"0";"1";"0";"0";SERIAL_33958;SERIAL;"10";7;0
PERNUM_1153;PERNUM;"1";"10";"2";"24";"110";SERIAL_1148;SERIAL;"4";5;0
PERNUM_38;PERNUM;"0";"0";"2";"3";"0";SERIAL_35434;SERIAL;"3";4;0
PERNUM_41;PERNUM;"3";"0";"2";"57";"310";SERIAL_32337;SERIAL;"10";5;0
PERNUM_42;PERNUM;"0";"0";"1";"5";"0";SERIAL_36055;SERIAL;"3";5;0
PERNUM_45;PERNUM;"3";"0";"2";"56";"390";SERIAL_33971;SERIAL;"10";4;0
PERNUM_47;PERNUM;"1";"10";"1";"50";"110";SERIAL_37344;SERIAL;"3";8;0
PERNUM_49;PERNUM;"1";"80";"1";"42";"110";SERIAL_31899;SERIAL;"3";3;0
PERNUM_727;PERNUM;"1";"60";"1";"54";"110";SERIAL_724;SERIAL;"10";3;0
PERNUM_52;PERNUM;"1";"80";"1";"48";"110";SERIAL_33416;SERIAL;"2";2;0
PERNUM_54;PERNUM;"1";"90";"2";"26";"110";SERIAL_30247;SERIAL;"10";5;0
PERNUM_1823;PERNUM;"1";"10";"1";"27";"110";SERIAL_1822;SERIAL;"10";5;0
PERNUM_55;PERNUM;"1";"114";"1";"30";"110";SERIAL_35910;SERIAL;"10";2;0
PERNUM_59;PERNUM;"0";"0";"2";"10";"0";SERIAL_37750;SERIAL;"10";5;0
PERNUM_57;PERNUM;"3";"0";"2";"27";"310";SERIAL_31240;SERIAL;"3";4;0
PERNUM_60;PERNUM;"1";"10";"2";"31";"110";SERIAL_32774;SERIAL;"3";4;0
PERNUM_804;PERNUM;"1";"10";"1";"24";"110";SERIAL_798;SERIAL;"6";6;0
PERNUM_61;PERNUM;"1";"10";"2";"50";"110";SERIAL_35585;SERIAL;"2";2;0
PERNUM_63;PERNUM;"1";"111";"1";"24";"110";SERIAL_30229;SERIAL;"3";5;0
PERNUM_64;PERNUM;"1";"10";"1";"54";"110";SERIAL_36057;SERIAL;"3";3;0
PERNUM_65;PERNUM;"0";"0";"1";"13";"0";SERIAL_31020;SERIAL;"3";5;0
PERNUM_66;PERNUM;"0";"0";"2";"14";"0";SERIAL_34747;SERIAL;"3";4;0
PERNUM_67;PERNUM;"0";"0";"1";"7";"0";SERIAL_29982;SERIAL;"10";5;0
