ID;__type;MARSTD;SEX;MARST;AGE;RELATE;RELATED;parentId;parent__type;HHTYPE;NMOTHERS;NFATHERS;count_parent_children;count_children
 ; ;"200";"2";"2";"27";"2";"2000";"untyped_1084"; ;"10";"1";"1";4;0
 ; ;"200";"1";"2";"46";"3";"3100";"untyped_1369"; ;"10";"1";"2";5;0
 ; ;"100";"2";"1";"2";"3";"3100";"untyped_2442"; ;"10";"1";"1";4;0
 ; ;"200";"1";"2";"40";"1";"1000";"untyped_293"; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"5";"4";"4100";"untyped_1338"; ;"10";"2";"1";5;0
 ; ;"200";"2";"2";"31";"6";"6000";"untyped_59"; ;"10";"2";"2";5;0
 ; ;"200";"1";"2";"60";"1";"1000";"untyped_1451"; ;"10";"2";"2";6;0
 ; ;"200";"2";"2";"33";"1";"1000";"untyped_1926"; ;"10";"1";"0";3;0
 ; ;"200";"1";"2";"35";"3";"3100";"untyped_2468"; ;"10";"2";"1";7;0
 ; ;"100";"2";"1";"3";"4";"4100";"untyped_1108"; ;"10";"2";"2";5;0
 ; ;"200";"1";"2";"52";"1";"1000";"untyped_25"; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"46";"1";"1000";"untyped_2048"; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"26";"3";"3100";"untyped_2115"; ;"10";"0";"1";3;0
 ; ;"200";"1";"2";"49";"2";"2000";"untyped_162"; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"21";"3";"3100";"untyped_488"; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"2";"3";"3100";"untyped_429"; ;"3";"1";"1";3;0
 ; ;"100";"2";"1";"15";"3";"3100";"untyped_890"; ;"3";"1";"1";5;0
 ; ;"200";"1";"2";"49";"2";"2000";"untyped_2219"; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"17";"3";"3100";"untyped_783"; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"10";"3";"3100";"untyped_1952"; ;"3";"1";"1";3;0
 ; ;"100";"2";"1";"1";"3";"3100";"untyped_1653"; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"71";"1";"1000";"untyped_1918"; ;"10";"1";"1";4;0
 ; ;"200";"2";"2";"69";"2";"2000";"untyped_1769"; ;"2";"0";"0";2;0
 ; ;"200";"2";"2";"51";"2";"2000";"untyped_1660"; ;"6";"2";"1";5;0
 ; ;"200";"1";"2";"39";"1";"1000";"untyped_1602"; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"47";"1";"1000";"untyped_948"; ;"10";"3";"2";11;0
 ; ;"200";"2";"2";"26";"2";"2000";"untyped_2323"; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"47";"1";"1000";"untyped_1350"; ;"4";"1";"0";3;0
 ; ;"200";"1";"2";"51";"1";"1000";"untyped_2259"; ;"10";"2";"1";6;0
 ; ;"200";"2";"2";"26";"6";"6000";"untyped_1464"; ;"10";"2";"2";8;0
 ; ;"200";"1";"2";"46";"1";"1000";"untyped_306"; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"49";"1";"1000";"untyped_2283"; ;"6";"1";"2";5;0
 ; ;"200";"1";"2";"27";"6";"6000";"untyped_2244"; ;"10";"2";"2";6;0
 ; ;"100";"1";"1";"17";"3";"3100";"untyped_1156"; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"32";"3";"3100";"untyped_2156"; ;"10";"1";"2";4;0
 ; ;"100";"1";"1";"22";"3";"3100";"untyped_106"; ;"6";"2";"0";5;0
 ; ;"100";"2";"1";"36";"3";"3100";"untyped_246"; ;"4";"1";"0";2;0
 ; ;"100";"1";"1";"0";"4";"4100";"untyped_1433"; ;"10";"2";"2";6;0
 ; ;"100";"1";"1";"25";"3";"3100";"untyped_1162"; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"37";"6";"6000";"untyped_977"; ;"10";"0";"0";4;0
 ; ;"200";"2";"2";"41";"1";"1000";"untyped_60"; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"46";"2";"2000";"untyped_1689"; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"20";"6";"6000";"untyped_1927"; ;"10";"1";"1";6;0
 ; ;"100";"2";"1";"2";"4";"4100";"untyped_451"; ;"10";"2";"2";6;0
 ; ;"100";"2";"1";"19";"3";"3100";"untyped_340"; ;"10";"1";"1";4;0
 ; ;"200";"1";"2";"50";"1";"1000";"untyped_866"; ;"10";"1";"1";6;0
 ; ;"100";"1";"1";"3";"3";"3100";"untyped_112"; ;"6";"2";"1";9;0
 ; ;"200";"2";"2";"55";"1";"1000";"untyped_1883"; ;"4";"1";"0";2;0
 ; ;"100";"1";"1";"9";"3";"3100";"untyped_709"; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"10";"3";"3100";"untyped_1168"; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"19";"3";"3100";"untyped_1388"; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"68";"2";"2000";"untyped_20"; ;"10";"2";"1";6;0
 ; ;"100";"1";"1";"10";"3";"3100";"untyped_913"; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"24";"3";"3100";"untyped_282"; ;"6";"1";"1";4;0
 ; ;"200";"2";"2";"51";"2";"2000";"untyped_675"; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"38";"1";"1000";"untyped_498"; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"2";"3";"3100";"untyped_1378"; ;"3";"1";"1";3;0
