ID;__type;MARSTD;SEX;MARST;AGE;RELATE;RELATED;parentId;parent__type;HHTYPE;NMOTHERS;NFATHERS;count_parent_children;count_children
Individual;Type of the entity;null;null;null;null;null;null;ID of the parent entity;parent__type;null;null;null;count of children of this entity
 ; ;"200";"1";"2";"52";"1";"1000";untyped_357; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"42";"2";"2000";untyped_318; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"12";"3";"3100";untyped_2265; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"70";"1";"1000";untyped_2018; ;"10";"2";"2";6;0
 ; ;"100";"1";"1";"10";"3";"3100";untyped_892; ;"6";"2";"1";5;0
 ; ;"100";"1";"1";"12";"3";"3100";untyped_287; ;"6";"2";"1";5;0
 ; ;"200";"1";"2";"67";"1";"1000";untyped_1772; ;"10";"2";"1";7;0
 ; ;"200";"2";"2";"35";"2";"2000";untyped_321; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"43";"1";"1000";untyped_1070; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"1";"3";"3100";untyped_289; ;"3";"1";"1";5;0
 ; ;"200";"2";"2";"32";"2";"2000";untyped_374; ;"3";"1";"1";3;0
 ; ;"100";"1";"1";"16";"3";"3100";untyped_280; ;"3";"1";"1";5;0
 ; ;"200";"1";"2";"66";"1";"1000";untyped_1727; ;"10";"2";"2";6;0
 ; ;"200";"1";"2";"64";"2";"2000";untyped_432; ;"6";"2";"1";4;0
 ; ;"100";"1";"1";"22";"3";"3100";untyped_501; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"57";"3";"3100";untyped_1954; ;"10";"2";"2";5;0
 ; ;"100";"1";"1";"22";"3";"3100";untyped_1118; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"57";"2";"2000";untyped_1212; ;"2";"0";"0";2;0
 ; ;"200";"1";"2";"33";"6";"6000";untyped_1205; ;"10";"2";"1";4;0
 ; ;"100";"1";"1";"20";"3";"3100";untyped_406; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"26";"3";"3100";untyped_32; ;"3";"1";"1";6;0
 ; ;"200";"1";"2";"65";"1";"1000";untyped_725; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"22";"3";"3100";untyped_488; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"27";"6";"6000";untyped_399; ;"10";"2";"2";5;0
 ; ;"100";"2";"1";"7";"4";"4100";untyped_1322; ;"10";"2";"1";8;0
 ; ;"200";"2";"2";"34";"2";"2000";untyped_661; ;"3";"1";"1";3;0
 ; ;"100";"1";"1";"30";"3";"3100";untyped_873; ;"10";"1";"1";6;0
 ; ;"100";"1";"1";"1";"4";"4100";untyped_1815; ;"6";"2";"1";5;0
 ; ;"200";"1";"2";"48";"1";"1000";untyped_1252; ;"10";"2";"2";6;0
 ; ;"200";"2";"2";"60";"2";"2000";untyped_37; ;"10";"2";"2";5;0
 ; ;"400";"2";"4";"64";"1";"1000";untyped_1829; ;"10";"2";"1";5;0
 ; ;"100";"2";"1";"7";"4";"4100";untyped_156; ;"10";"2";"2";8;0
 ; ;"200";"2";"2";"49";"2";"2000";untyped_317; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"39";"2";"2000";untyped_1000; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"3";"6";"6000";untyped_1858; ;"10";"1";"1";5;0
 ; ;"100";"1";"1";"5";"3";"3100";untyped_821; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"14";"3";"3100";untyped_2147; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"37";"1";"1000";untyped_2388; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"1";"4";"4100";untyped_2475; ;"10";"2";"1";5;0
 ; ;"200";"1";"2";"32";"1";"1000";untyped_1001; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"40";"6";"6000";untyped_2055; ;"10";"2";"1";5;0
 ; ;"100";"2";"1";"18";"3";"3100";untyped_1632; ;"10";"1";"1";5;0
 ; ;"100";"2";"1";"25";"3";"3100";untyped_457; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"45";"1";"1000";untyped_1277; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"50";"1";"1000";untyped_1791; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"50";"1";"1000";untyped_2441; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"41";"1";"1000";untyped_625; ;"4";"1";"0";3;0
 ; ;"200";"2";"2";"32";"2";"2000";untyped_1314; ;"2";"0";"0";2;0
 ; ;"200";"1";"2";"72";"2";"2000";untyped_2018; ;"10";"2";"2";6;0
 ; ;"400";"2";"4";"60";"1";"1000";untyped_2448; ;"4";"1";"0";2;0
 ; ;"200";"2";"2";"78";"2";"2000";untyped_1720; ;"2";"0";"0";2;0
 ; ;"100";"1";"1";"3";"4";"4100";untyped_1843; ;"10";"2";"1";6;0
 ; ;"100";"1";"1";"24";"3";"3100";untyped_2012; ;"10";"1";"1";5;0
 ; ;"200";"2";"2";"37";"2";"2000";untyped_1791; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"30";"2";"2000";untyped_1937; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"15";"3";"3100";untyped_1527; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"25";"3";"3100";untyped_2381; ;"3";"1";"1";3;0
 ; ;"100";"1";"1";"22";"3";"3100";untyped_772; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"27";"1";"1000";untyped_979; ;"3";"1";"1";3;0
 ; ;"100";"1";"1";"10";"4";"4100";untyped_696; ;"10";"3";"1";6;0
 ; ;"200";"1";"2";"42";"1";"1000";untyped_731; ;"3";"1";"1";4;0
 ; ;"350";"2";"3";"44";"1";"1000";untyped_794; ;"4";"1";"0";2;0
 ; ;"200";"1";"2";"37";"1";"1000";untyped_1522; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"34";"2";"2000";untyped_2196; ;"3";"1";"1";3;0
 ; ;"400";"2";"4";"64";"1";"1000";untyped_601; ;"1";"0";"0";1;0
 ; ;"100";"1";"1";"4";"4";"4100";untyped_1452; ;"6";"2";"0";4;0
 ; ;"200";"2";"2";"36";"2";"2000";untyped_1558; ;"3";"1";"1";5;0
 ; ;"100";"2";"1";"15";"3";"3100";untyped_22; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"18";"3";"3100";untyped_2060; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"67";"1";"1000";untyped_1842; ;"3";"1";"1";6;0
