Parameter,Value
Transmission_human,TRUE
Transmission_building,FALSE
Successful_contact_rate_human,0.007086298
Successful_contact_rate_building,0.007086298
Reduction_asymptomatic,0.45
Proportion_asymptomatic,0.3
Proportion_dead_asymptomatic,0.01
Basic_viral_release,3
Basic_viral_decrease,0.01375
Probability_true_positive,0.89
Probability_true_negative,0.92
Proportion_wearing_mask,0
Reduction_wearing_mask,0.5
Distribution_type_incubation,Lognormal
Parameter_1_incubation,1.57
Parameter_2_incubation,0.65
Distribution_type_serial_interval,Normal
Parameter_1_serial_interval,3.96
Parameter_2_serial_interval,3.75
Distribution_type_onset_to_recovery,Lognormal
Parameter_1_onset_to_recovery,3.034953
Parameter_2_onset_to_recovery,0.34
