reporting country,secondary country,time,value
AFG,AGO,2011,5
AFG,AGO,2012,1
AFG,AGO,2013,0
AFG,AGO,2014,1
AFG,AGO,2015,0
AFG,AGO,2016,1
AFG,ALB,2011,48
AFG,ALB,2012,49
AFG,ALB,2013,46
AFG,ALB,2014,78
AFG,ALB,2015,75
AFG,ALB,2016,69
AFG,AND,2011,0
AFG,AND,2012,0
AFG,AND,2013,0
AFG,AND,2014,0
AFG,AND,2015,0
AFG,AND,2016,0
AFG,ARE,2011,347253
AFG,ARE,2012,410587
AFG,ARE,2013,445194
AFG,ARE,2014,382200
AFG,ARE,2015,346287
AFG,ARE,2016,328619
AFG,ARG,2011,21
AFG,ARG,2012,24
AFG,ARG,2013,25
AFG,ARG,2014,46
AFG,ARG,2015,28
AFG,ARG,2016,31
AFG,ARM,2011,353
AFG,ARM,2012,390
AFG,ARM,2013,687
AFG,ARM,2014,457
AFG,ARM,2015,200
AFG,ARM,2016,426
AFG,ATG,2011,0
AFG,ATG,2012,1
AFG,ATG,2013,0
AFG,ATG,2014,0
AFG,ATG,2015,0
AFG,ATG,2016,0
AFG,AUS,2011,2401
AFG,AUS,2012,3855
AFG,AUS,2013,5223
AFG,AUS,2014,6617
AFG,AUS,2015,7508
AFG,AUS,2016,7392
AFG,AUT,2011,2051
AFG,AUT,2012,1252
AFG,AUT,2013,1299
AFG,AUT,2014,1512
AFG,AUT,2015,2196
AFG,AUT,2016,1854
AFG,AZE,2011,698
AFG,AZE,2012,372
AFG,AZE,2013,804
AFG,AZE,2014,7202
AFG,AZE,2015,9511
AFG,AZE,2016,4172
AFG,BDI,2011,2
AFG,BDI,2012,3
AFG,BDI,2013,3
AFG,BDI,2014,32
AFG,BDI,2015,47
AFG,BDI,2016,17
AFG,BEL,2011,1505
AFG,BEL,2012,2363
AFG,BEL,2013,2540
AFG,BEL,2014,2194
AFG,BEL,2015,2639
AFG,BEL,2016,3091
AFG,BEN,2011,0
AFG,BEN,2012,2
AFG,BEN,2013,3
AFG,BEN,2014,1
AFG,BEN,2015,1
AFG,BEN,2016,0
AFG,BFA,2011,2
AFG,BFA,2012,0
AFG,BFA,2013,7
AFG,BFA,2014,12
AFG,BFA,2015,11
AFG,BFA,2016,6
AFG,BGD,2011,3274
AFG,BGD,2012,2226
AFG,BGD,2013,1361
AFG,BGD,2014,1892
AFG,BGD,2015,2156
AFG,BGD,2016,1029
AFG,BGR,2011,119
AFG,BGR,2012,258
AFG,BGR,2013,317
AFG,BGR,2014,346
AFG,BGR,2015,414
AFG,BGR,2016,420
AFG,BHR,2011,2978
AFG,BHR,2012,6496
AFG,BHR,2013,2291
AFG,BHR,2014,914
AFG,BHR,2015,740
AFG,BHR,2016,416
AFG,BHS,2011,0
AFG,BHS,2012,9
AFG,BHS,2013,3
AFG,BHS,2014,0
AFG,BHS,2015,0
AFG,BHS,2016,0
AFG,BIH,2011,83
AFG,BIH,2012,271
AFG,BIH,2013,340
AFG,BIH,2014,374
AFG,BIH,2015,501
AFG,BIH,2016,374
AFG,BLR,2011,8
AFG,BLR,2012,60
AFG,BLR,2013,45
AFG,BLR,2014,23
AFG,BLR,2015,49
AFG,BLR,2016,48
AFG,BLZ,2011,2
AFG,BLZ,2012,3
AFG,BLZ,2013,2
AFG,BLZ,2014,3
AFG,BLZ,2015,2
AFG,BLZ,2016,0
AFG,BMU,2011,0
AFG,BMU,2012,0
AFG,BMU,2013,0
AFG,BMU,2014,0
AFG,BMU,2015,0
AFG,BMU,2016,0
AFG,BOL,2011,4
AFG,BOL,2012,6
AFG,BOL,2013,7
AFG,BOL,2014,3
AFG,BOL,2015,8
AFG,BOL,2016,19
AFG,BRA,2011,63
AFG,BRA,2012,73
AFG,BRA,2013,78
AFG,BRA,2014,134
AFG,BRA,2015,137
AFG,BRA,2016,128
AFG,BRB,2011,4
AFG,BRB,2012,9
AFG,BRB,2013,7
AFG,BRB,2014,13
AFG,BRB,2015,10
AFG,BRB,2016,4
AFG,BRN,2011,10
AFG,BRN,2012,9
AFG,BRN,2013,14
AFG,BRN,2014,19
AFG,BRN,2015,39
AFG,BRN,2016,52
AFG,BTN,2011,0
AFG,BTN,2012,0
AFG,BTN,2013,2
AFG,BTN,2014,1
AFG,BTN,2015,0
AFG,BTN,2016,0
AFG,BWA,2011,2
AFG,BWA,2012,3
AFG,BWA,2013,5
AFG,BWA,2014,8
AFG,BWA,2015,17
AFG,BWA,2016,6
AFG,CAF,2011,40
AFG,CAF,2012,14
AFG,CAF,2013,0
AFG,CAF,2014,5
AFG,CAF,2015,6
AFG,CAF,2016,19
AFG,CAN,2011,4547
AFG,CAN,2012,7534
AFG,CAN,2013,7000
AFG,CAN,2014,6716
AFG,CAN,2015,7982
AFG,CAN,2016,7189
AFG,CHE,2011,863
AFG,CHE,2012,1317
AFG,CHE,2013,1458
AFG,CHE,2014,1600
AFG,CHE,2015,1817
AFG,CHE,2016,1893
AFG,CHL,2011,16
AFG,CHL,2012,16
AFG,CHL,2013,27
AFG,CHL,2014,15
AFG,CHL,2015,13
AFG,CHL,2016,11
AFG,CHN,2011,9965
AFG,CHN,2012,11650
AFG,CHN,2013,7452
AFG,CHN,2014,9098
AFG,CHN,2015,10700
AFG,CHN,2016,8892
AFG,CIV,2011,5
AFG,CIV,2012,34
AFG,CIV,2013,28
AFG,CIV,2014,36
AFG,CIV,2015,31
AFG,CIV,2016,25
AFG,CMR,2011,4
AFG,CMR,2012,8
AFG,CMR,2013,5
AFG,CMR,2014,19
AFG,CMR,2015,35
AFG,CMR,2016,22
AFG,COD,2011,5
AFG,COD,2012,3
AFG,COD,2013,5
AFG,COD,2014,14
AFG,COD,2015,12
AFG,COD,2016,14
AFG,COG,2011,1
AFG,COG,2012,2
AFG,COG,2013,0
AFG,COG,2014,3
AFG,COG,2015,2
AFG,COG,2016,3
AFG,COL,2011,682
AFG,COL,2012,665
AFG,COL,2013,760
AFG,COL,2014,566
AFG,COL,2015,149
AFG,COL,2016,115
AFG,COM,2011,0
AFG,COM,2012,0
AFG,COM,2013,4
AFG,COM,2014,0
AFG,COM,2015,3
AFG,COM,2016,2
AFG,CPV,2011,0
AFG,CPV,2012,1
AFG,CPV,2013,0
AFG,CPV,2014,0
AFG,CPV,2015,1
AFG,CPV,2016,0
AFG,CRI,2011,7
AFG,CRI,2012,12
AFG,CRI,2013,18
AFG,CRI,2014,12
AFG,CRI,2015,4
AFG,CRI,2016,7
AFG,CUB,2011,0
AFG,CUB,2012,0
AFG,CUB,2013,0
AFG,CUB,2014,0
AFG,CUB,2015,2
AFG,CUB,2016,4
AFG,CYM,2011,1
AFG,CYM,2012,0
AFG,CYM,2013,0
AFG,CYM,2014,1
AFG,CYM,2015,2
AFG,CYM,2016,0
AFG,CYP,2011,78
AFG,CYP,2012,112
AFG,CYP,2013,51
AFG,CYP,2014,72
AFG,CYP,2015,78
AFG,CYP,2016,145
AFG,CZE,2011,224
AFG,CZE,2012,256
AFG,CZE,2013,274
AFG,CZE,2014,320
AFG,CZE,2015,413
AFG,CZE,2016,400
AFG,DEU,2011,39443
AFG,DEU,2012,33980
AFG,DEU,2013,34035
AFG,DEU,2014,32991
AFG,DEU,2015,34632
AFG,DEU,2016,36395
AFG,DJI,2011,45
AFG,DJI,2012,1
AFG,DJI,2013,19
AFG,DJI,2014,275
AFG,DJI,2015,74
AFG,DJI,2016,65
AFG,DMA,2011,0
AFG,DMA,2012,0
AFG,DMA,2013,0
AFG,DMA,2014,0
AFG,DMA,2015,0
AFG,DMA,2016,0
AFG,DNK,2011,1608
AFG,DNK,2012,3937
AFG,DNK,2013,4043
AFG,DNK,2014,4283
AFG,DNK,2015,5058
AFG,DNK,2016,4467
AFG,DOM,2011,11
AFG,DOM,2012,14
AFG,DOM,2013,28
AFG,DOM,2014,17
AFG,DOM,2015,19
AFG,DOM,2016,17
AFG,DZA,2011,3
AFG,DZA,2012,2
AFG,DZA,2013,3
AFG,DZA,2014,5
AFG,DZA,2015,10
AFG,DZA,2016,20
AFG,ECU,2011,10
AFG,ECU,2012,7
AFG,ECU,2013,17
AFG,ECU,2014,15
AFG,ECU,2015,26
AFG,ECU,2016,35
AFG,EGY,2011,3731
AFG,EGY,2012,1230
AFG,EGY,2013,1843
AFG,EGY,2014,2134
AFG,EGY,2015,2980
AFG,EGY,2016,1626
AFG,ERI,2011,1
AFG,ERI,2012,0
AFG,ERI,2013,1
AFG,ERI,2014,2
AFG,ERI,2015,128
AFG,ERI,2016,535
AFG,ESP,2011,909
AFG,ESP,2012,1117
AFG,ESP,2013,1432
AFG,ESP,2014,1362
AFG,ESP,2015,1227
AFG,ESP,2016,800
AFG,EST,2011,163
AFG,EST,2012,141
AFG,EST,2013,191
AFG,EST,2014,220
AFG,EST,2015,206
AFG,EST,2016,172
AFG,ETH,2011,130
AFG,ETH,2012,150
AFG,ETH,2013,156
AFG,ETH,2014,291
AFG,ETH,2015,287
AFG,ETH,2016,155
AFG,FIN,2011,510
AFG,FIN,2012,839
AFG,FIN,2013,1019
AFG,FIN,2014,1057
AFG,FIN,2015,1121
AFG,FIN,2016,882
AFG,FJI,2011,42
AFG,FJI,2012,88
AFG,FJI,2013,92
AFG,FJI,2014,54
AFG,FJI,2015,46
AFG,FJI,2016,51
AFG,FRA,2011,3392
AFG,FRA,2012,4872
AFG,FRA,2013,5262
AFG,FRA,2014,4906
AFG,FRA,2015,5494
AFG,FRA,2016,4883
AFG,FSM,2011,0
AFG,FSM,2012,0
AFG,FSM,2013,0
AFG,FSM,2014,0
AFG,FSM,2015,0
AFG,FSM,2016,0
AFG,GAB,2011,0
AFG,GAB,2012,0
AFG,GAB,2013,0
AFG,GAB,2014,0
AFG,GAB,2015,0
AFG,GAB,2016,2
AFG,GBR,2011,19880
AFG,GBR,2012,30745
AFG,GBR,2013,33453
AFG,GBR,2014,34443
AFG,GBR,2015,38056
AFG,GBR,2016,38078
AFG,GEO,2011,142
AFG,GEO,2012,250
AFG,GEO,2013,263
AFG,GEO,2014,339
AFG,GEO,2015,465
AFG,GEO,2016,447
AFG,GHA,2011,31
AFG,GHA,2012,35
AFG,GHA,2013,50
AFG,GHA,2014,79
AFG,GHA,2015,64
AFG,GHA,2016,73
AFG,GIB,2011,0
AFG,GIB,2012,4
AFG,GIB,2013,14
AFG,GIB,2014,0
AFG,GIB,2015,0
AFG,GIB,2016,2
AFG,GIN,2011,4
AFG,GIN,2012,0
AFG,GIN,2013,3
AFG,GIN,2014,2
AFG,GIN,2015,1
AFG,GIN,2016,6
AFG,GMB,2011,2
AFG,GMB,2012,1
AFG,GMB,2013,13
AFG,GMB,2014,4
AFG,GMB,2015,2
AFG,GMB,2016,5
AFG,GNB,2011,0
AFG,GNB,2012,0
AFG,GNB,2013,0
AFG,GNB,2014,6
AFG,GNB,2015,2
AFG,GNB,2016,2
AFG,GNQ,2011,1
AFG,GNQ,2012,0
AFG,GNQ,2013,1
AFG,GNQ,2014,0
AFG,GNQ,2015,0
AFG,GNQ,2016,0
AFG,GRC,2011,455
AFG,GRC,2012,610
AFG,GRC,2013,400
AFG,GRC,2014,392
AFG,GRC,2015,564
AFG,GRC,2016,760
AFG,GTM,2011,1
AFG,GTM,2012,2
AFG,GTM,2013,4
AFG,GTM,2014,15
AFG,GTM,2015,13
AFG,GTM,2016,10
AFG,GUY,2011,1
AFG,GUY,2012,0
AFG,GUY,2013,3
AFG,GUY,2014,3
AFG,GUY,2015,1
AFG,GUY,2016,1
AFG,HKG,2011,204
AFG,HKG,2012,201
AFG,HKG,2013,251
AFG,HKG,2014,347
AFG,HKG,2015,336
AFG,HKG,2016,270
AFG,HND,2011,3
AFG,HND,2012,2
AFG,HND,2013,2
AFG,HND,2014,14
AFG,HND,2015,11
AFG,HND,2016,11
AFG,HRV,2011,122
AFG,HRV,2012,161
AFG,HRV,2013,169
AFG,HRV,2014,284
AFG,HRV,2015,402
AFG,HRV,2016,364
AFG,HTI,2011,3
AFG,HTI,2012,3
AFG,HTI,2013,2
AFG,HTI,2014,3
AFG,HTI,2015,23
AFG,HTI,2016,14
AFG,HUN,2011,213
AFG,HUN,2012,317
AFG,HUN,2013,355
AFG,HUN,2014,409
AFG,HUN,2015,358
AFG,HUN,2016,355
AFG,IDN,2011,515
AFG,IDN,2012,676
AFG,IDN,2013,690
AFG,IDN,2014,705
AFG,IDN,2015,652
AFG,IDN,2016,416
AFG,IND,2011,161998
AFG,IND,2012,183268
AFG,IND,2013,189955
AFG,IND,2014,188368
AFG,IND,2015,207071
AFG,IND,2016,215899
AFG,IRL,2011,166
AFG,IRL,2012,336
AFG,IRL,2013,500
AFG,IRL,2014,949
AFG,IRL,2015,2325
AFG,IRL,2016,886
AFG,IRN,2011,61875
AFG,IRN,2012,75043
AFG,IRN,2013,77382
AFG,IRN,2014,58769
AFG,IRN,2015,110857
AFG,IRN,2016,56753
AFG,IRQ,2011,2151
AFG,IRQ,2012,2876
AFG,IRQ,2013,2439
AFG,IRQ,2014,1489
AFG,IRQ,2015,1611
AFG,IRQ,2016,1814
AFG,ISL,2011,9
AFG,ISL,2012,10
AFG,ISL,2013,12
AFG,ISL,2014,6
AFG,ISL,2015,5
AFG,ISL,2016,14
AFG,ISR,2011,90
AFG,ISR,2012,98
AFG,ISR,2013,76
AFG,ISR,2014,64
AFG,ISR,2015,57
AFG,ISR,2016,60
AFG,ITA,2011,2000
AFG,ITA,2012,2852
AFG,ITA,2013,3418
AFG,ITA,2014,3666
AFG,ITA,2015,4383
AFG,ITA,2016,4566
AFG,JAM,2011,6
AFG,JAM,2012,6
AFG,JAM,2013,3
AFG,JAM,2014,1
AFG,JAM,2015,6
AFG,JAM,2016,14
AFG,JOR,2011,1342
AFG,JOR,2012,670
AFG,JOR,2013,830
AFG,JOR,2014,1080
AFG,JOR,2015,1539
AFG,JOR,2016,1009
AFG,JPN,2011,1295
AFG,JPN,2012,1434
